问题id,问题文本,知识点名称,认知目标层次,知识点类型
2lfJDkAktsK3RhBvaup,数据5，2，5，4，3的众数是 　        　．,众数,记忆,知识点
2lfJDkAktsK3RhBvaup,数据5，2，5，4，3的众数是 　        　．,众数的计算,应用,题型
2M9we7TP7KKNhPgsp08,下列计算正确的是(   )A．b+b<sup>2</sup>＝b<sup>3</sup>B．b<sup>6</sup>÷b<sup>3</sup>＝b<sup>2</sup>C．（2b）<sup>3</sup>＝6b<sup>3</sup>D．3b﹣2b＝b,合并同类项定义与法则,理解,知识点
2M9we7TP7KKNhPgsp08,下列计算正确的是(   )A．b+b<sup>2</sup>＝b<sup>3</sup>B．b<sup>6</sup>÷b<sup>3</sup>＝b<sup>2</sup>C．（2b）<sup>3</sup>＝6b<sup>3</sup>D．3b﹣2b＝b,同底数幂的除法运算法则,理解,知识点
2M9we7TP7KKNhPgsp08,下列计算正确的是(   )A．b+b<sup>2</sup>＝b<sup>3</sup>B．b<sup>6</sup>÷b<sup>3</sup>＝b<sup>2</sup>C．（2b）<sup>3</sup>＝6b<sup>3</sup>D．3b﹣2b＝b,积的乘方运算法则,理解,知识点
2vrZASKl3CIKinqUh21,勾股定理最早出现在商高的《周髀算经》：“勾广三，股修四，径隅五”．观察下列勾股数：3，4，5；5，12，13；7，24，25；…，这类勾股数的特点是：勾为奇数，弦与股相差为1．柏拉图研究了勾为偶数，弦与股相差为2的一类勾股数，如：6，8，10；8，15，17；…，若此类勾股数的勾为2m（m≥3，m为正整数），则其弦是 　              　（结果用含m的式子表示）．,勾股定理,理解,知识点
2vrZASKl3CIKinqUh21,勾股定理最早出现在商高的《周髀算经》：“勾广三，股修四，径隅五”．观察下列勾股数：3，4，5；5，12，13；7，24，25；…，这类勾股数的特点是：勾为奇数，弦与股相差为1．柏拉图研究了勾为偶数，弦与股相差为2的一类勾股数，如：6，8，10；8，15，17；…，若此类勾股数的勾为2m（m≥3，m为正整数），则其弦是 　              　（结果用含m的式子表示）．,新定义问题,分析,题型
2WaLhAL8ScbjWQuX9pn,今年“五一”假期，新疆铁路累计发送旅客795900人次.用科学记数法表示795900为                    .,科学记数法的定义,记忆,知识点
2WaLhAL8ScbjWQuX9pn,今年“五一”假期，新疆铁路累计发送旅客795900人次.用科学记数法表示795900为                    .,用科学记数法表示数及递用还原数,应用,题型
3FArljk2yIE9RVlmq2y,若正n边形的一个外角为72°，则n＝　         　．,已知多边形角的关系，求多边形的边数,应用,题型
3FArljk2yIE9RVlmq2y,若正n边形的一个外角为72°，则n＝　         　．,多边形的外角和,记忆,知识点
3oaKkwL7S29F6MoN7Jf,“爱劳动，劳动美．”甲、乙两同学同时从家里出发，分别到距家6km和10km的实践基地参加劳动．若甲、乙的速度比是3：4，结果甲比乙提前20min到达基地，求甲、乙的速度．设甲的速度为3xkm/h，则依题意可列方程为(   )A． $\frac6{3x}+\frac13=\frac{10}{4x}$ B． $\frac6{3x}+$ 20 $=\frac{10}{4x}$    C． $\frac6{3x}-\frac{10}{4x}=\frac13$ D． $\frac6{3x}-\frac{10}{4x}=$ 20,列分式方程解决航行问题,应用,题型
3p4FfZ4cXDgu1NeyA8F,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数，a≠0）的顶点坐标为（﹣1，﹣2），与y轴的交点在x轴上方，下列结论正确的是(   )A．a＜0B．c＜0C．a﹣b+c＝﹣2D．b<sup>2</sup>﹣4ac＝0,二次函数与一元二次方程的关系,分析,知识点
3p4FfZ4cXDgu1NeyA8F,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数，a≠0）的顶点坐标为（﹣1，﹣2），与y轴的交点在x轴上方，下列结论正确的是(   )A．a＜0B．c＜0C．a﹣b+c＝﹣2D．b<sup>2</sup>﹣4ac＝0,二次函数的图象特征与系数关系的判断,分析,题型
3p4FfZ4cXDgu1NeyA8F,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数，a≠0）的顶点坐标为（﹣1，﹣2），与y轴的交点在x轴上方，下列结论正确的是(   )A．a＜0B．c＜0C．a﹣b+c＝﹣2D．b<sup>2</sup>﹣4ac＝0,"二次函数的图象与a,b,c的关系",分析,知识点
3p4FfZ4cXDgu1NeyA8F,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数，a≠0）的顶点坐标为（﹣1，﹣2），与y轴的交点在x轴上方，下列结论正确的是(   )A．a＜0B．c＜0C．a﹣b+c＝﹣2D．b<sup>2</sup>﹣4ac＝0,二次函数与x轴交点的关系,分析,知识点
3wyb09T09Zhu2EwkcKG,观察下列一组数：2， $\frac12$ ， $\frac27$ ，…，它们按一定规律排列，第n个数记为a<sub>n</sub>，且满足 $\frac1{a_n}+\frac1{a_{n+2}}=\frac2{a_{n+1}}$ ．则a<sub>4</sub>＝　                     　，a<sub>2022</sub>＝　                      　．,数的规律问题,分析,题型
4laVJjtnbiPPLGguQ4T,下列运算正确的是(   )A.a<sup>2</sup>+a<sup>3</sup>=a<sup>5</sup>B.a<sup>2</sup>·a<sup>3</sup>=a<sup>5</sup>C.a<sup>2</sup>÷a<sup>3</sup>=a<sup>5</sup>D.(a<sup>2</sup>)<sup>3</sup>=a<sup>5</sup>,合并同类项定义与法则,理解,知识点
4laVJjtnbiPPLGguQ4T,下列运算正确的是(   )A.a<sup>2</sup>+a<sup>3</sup>=a<sup>5</sup>B.a<sup>2</sup>·a<sup>3</sup>=a<sup>5</sup>C.a<sup>2</sup>÷a<sup>3</sup>=a<sup>5</sup>D.(a<sup>2</sup>)<sup>3</sup>=a<sup>5</sup>,幂的乘方运算法则,理解,知识点
4laVJjtnbiPPLGguQ4T,下列运算正确的是(   )A.a<sup>2</sup>+a<sup>3</sup>=a<sup>5</sup>B.a<sup>2</sup>·a<sup>3</sup>=a<sup>5</sup>C.a<sup>2</sup>÷a<sup>3</sup>=a<sup>5</sup>D.(a<sup>2</sup>)<sup>3</sup>=a<sup>5</sup>,同底数幂的乘法运算法则,理解,知识点
4laVJjtnbiPPLGguQ4T,下列运算正确的是(   )A.a<sup>2</sup>+a<sup>3</sup>=a<sup>5</sup>B.a<sup>2</sup>·a<sup>3</sup>=a<sup>5</sup>C.a<sup>2</sup>÷a<sup>3</sup>=a<sup>5</sup>D.(a<sup>2</sup>)<sup>3</sup>=a<sup>5</sup>,同底数幂的除法运算法则,理解,知识点
4mlX374gIOHweY0hXMy,反比例函数y $=-\frac4x$ 的图象一定经过的点是(   )A．（1，4）B．（﹣1，﹣4）C．（﹣2，2）D．（2，2）,点与反比例函数的图象的关系应用,应用,题型
5cjB55tOUnEe5tu52jP,八（1）班一组女生的体重（单位：kg）分别是：35，36，38，40，42，42，45．则这组数据的众数为 　                    　．,众数的计算,应用,题型
5cjB55tOUnEe5tu52jP,八（1）班一组女生的体重（单位：kg）分别是：35，36，38，40，42，42，45．则这组数据的众数为 　                    　．,众数,记忆,知识点
5f7ddcddde8ec80020d31214,-2020的相反数是(   ) A.2020  B. $-\frac1{2020}$   C. $\frac1{2020}$  D.-2020,相反数的定义,记忆,知识点
5f7ddcddde8ec80020d31214,-2020的相反数是(   ) A.2020  B. $-\frac1{2020}$   C. $\frac1{2020}$  D.-2020,求相反数,应用,题型
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,合并同类项,应用,题型
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,合并同类项定义与法则,理解,知识点
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,同底数幂的乘法运算法则,理解,知识点
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,积的乘方运算法则,理解,知识点
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,平方差公式的定义,记忆,知识点
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,利用平方差公式进行计算,应用,题型
5f7ddd08e8cfa8dc3ed30fbb,下列运算正确的是(   ) A.2x+3x=5x<sup>2</sup> B.(-2x)<sup>3</sup>=-6x<sup>3</sup> C.2x<sup>3</sup>•3x<sup>2</sup>=6x<sup>5</sup> D.(3x+2)(2-3x)=9x<sup>2</sup>-4,幂的综合运算,应用,题型
5f7ddd52de8ec80020d31216,面对2020年突如其来的新冠疫情，党和国家及时采取“严防严控”措施，并对新冠患者全部免费治疗.据统计共投入约21亿元资金.21亿用科学记数法可表示为(   ) A.0.21×10<sup>8</sup> B.2.1×10<sup>8</sup> C.2.1×10<sup>9</sup> D.0.21×10<sup>10</sup>,科学记数法的定义,记忆,知识点
5f7ddd52de8ec80020d31216,面对2020年突如其来的新冠疫情，党和国家及时采取“严防严控”措施，并对新冠患者全部免费治疗.据统计共投入约21亿元资金.21亿用科学记数法可表示为(   ) A.0.21×10<sup>8</sup> B.2.1×10<sup>8</sup> C.2.1×10<sup>9</sup> D.0.21×10<sup>10</sup>,用科学记数法表示数及递用还原数,应用,题型
5f7ddd7dde8ec80020d31218,一组数据4，5，x，7，9的平均数为6，则这组数据的众数为(   ) A.4 B.5 C.7 D.9,平均数,记忆,知识点
5f7ddd7dde8ec80020d31218,一组数据4，5，x，7，9的平均数为6，则这组数据的众数为(   ) A.4 B.5 C.7 D.9,众数的计算,应用,题型
5f7ddd7dde8ec80020d31218,一组数据4，5，x，7，9的平均数为6，则这组数据的众数为(   ) A.4 B.5 C.7 D.9,众数,记忆,知识点
5f7ddd7dde8ec80020d31218,一组数据4，5，x，7，9的平均数为6，则这组数据的众数为(   ) A.4 B.5 C.7 D.9,平均数的计算,应用,题型
5f7ddd8ede8ec80020d31219,目前以5G等为代表的战略性新兴产业蓬勃发展.某市2019年底有5G用户2万户，计划到2021年底全市5G用户数累计达到8.72万户.设全市5G用户数年平均增长率为x，则x值为(   ) A.20% B.30% C.40% D.50%,列一元二次方程解决增长率问题,应用,题型
5f7ddf31de8ec80020d3121d,因式分解：2m<sup>2</sup>-12m+18=                        .,公式法的定义与步骤,理解,知识点
5f7ddf31de8ec80020d3121d,因式分解：2m<sup>2</sup>-12m+18=                        .,用公式法分解因式,应用,题型
5f7ddf8cde8ec80020d3121e,关于x的不等式组 $\left\{\begin{array}{l}2x>4\x-5\leq0\end{array}\right.$ 的解集是                               .,解一元一次不等式组,应用,题型
5f7ddf8cde8ec80020d3121e,关于x的不等式组 $\left\{\begin{array}{l}2x>4\x-5\leq0\end{array}\right.$ 的解集是                               .,一元一次不等式组的解集与表示,理解,知识点
5f7ddfc5de8ec80020d3121f,用一个圆心角为120°，半径为4的扇形制作一个圆锥的侧面，则此圆锥的底面圆的半径为              .,圆锥的侧面积与表面积的计算,应用,题型
5f7ddfc5de8ec80020d3121f,用一个圆心角为120°，半径为4的扇形制作一个圆锥的侧面，则此圆锥的底面圆的半径为              .,圆锥的侧面展开图,理解,知识点
5f7de956de8ec80020d31222,先化简 $\frac{x^2-4x+4}{x^2-1}\div\frac{x^2-2x}{x+1}+\frac1{x-1}$ ，再从-2，-1，0，1，2中选一个合适的数作为x的值代入求值.,分式的加减法则,理解,知识点
5f7de956de8ec80020d31222,先化简 $\frac{x^2-4x+4}{x^2-1}\div\frac{x^2-2x}{x+1}+\frac1{x-1}$ ，再从-2，-1，0，1，2中选一个合适的数作为x的值代入求值.,分式的除法法则,理解,知识点
5f7de956de8ec80020d31222,先化简 $\frac{x^2-4x+4}{x^2-1}\div\frac{x^2-2x}{x+1}+\frac1{x-1}$ ，再从-2，-1，0，1，2中选一个合适的数作为x的值代入求值.,分式的化简与求值,应用,题型
5f7efcedde8ec80020d3123c,$\frac16$ 的相反数是(   ) A. $\frac16$  B.-6 C.6 D. $-\frac16$,相反数的定义,记忆,知识点
5f7efcedde8ec80020d3123c,$\frac16$ 的相反数是(   ) A. $\frac16$  B.-6 C.6 D. $-\frac16$,求相反数,应用,题型
5f7efd07e8cfa8dc3ed30fbd,下列运算正确的是(   ) A.m+2m=3m<sup>2</sup> B.2m<sup>3</sup>•3m<sup>2</sup>=6m<sup>6</sup> C.(2m)<sup>3</sup>=8m<sup>3</sup> D.m<sup>6</sup>÷m<sup>2</sup>=m<sup>3</sup>,同底数幂的除法运算法则,理解,知识点
5f7efd07e8cfa8dc3ed30fbd,下列运算正确的是(   ) A.m+2m=3m<sup>2</sup> B.2m<sup>3</sup>•3m<sup>2</sup>=6m<sup>6</sup> C.(2m)<sup>3</sup>=8m<sup>3</sup> D.m<sup>6</sup>÷m<sup>2</sup>=m<sup>3</sup>,合并同类项定义与法则,理解,知识点
5f7efd07e8cfa8dc3ed30fbd,下列运算正确的是(   ) A.m+2m=3m<sup>2</sup> B.2m<sup>3</sup>•3m<sup>2</sup>=6m<sup>6</sup> C.(2m)<sup>3</sup>=8m<sup>3</sup> D.m<sup>6</sup>÷m<sup>2</sup>=m<sup>3</sup>,同底数幂的乘法运算法则,理解,知识点
5f7efd07e8cfa8dc3ed30fbd,下列运算正确的是(   ) A.m+2m=3m<sup>2</sup> B.2m<sup>3</sup>•3m<sup>2</sup>=6m<sup>6</sup> C.(2m)<sup>3</sup>=8m<sup>3</sup> D.m<sup>6</sup>÷m<sup>2</sup>=m<sup>3</sup>,积的乘方运算法则,理解,知识点
5f7efd1ee8cfa8dc3ed30fbe,已知一个正多边形的一个外角为36°，则这个正多边形的边数是(   ) A.7 B.8 C.9 D.10,多边形的外角和,记忆,知识点
5f7efd1ee8cfa8dc3ed30fbe,已知一个正多边形的一个外角为36°，则这个正多边形的边数是(   ) A.7 B.8 C.9 D.10,已知多边形角的关系，求多边形的边数,应用,题型
5f7efe15de8ec80020d3123f,在平面直角坐标系中，若点A(a，-b)在第三象限，则点B(-ab，b)所在的象限是(   ) A.第一象限 B.第二象限 C.第三象限 D.第四象限,各象限内点的坐标的符号特征,记忆,知识点
5f7efe15de8ec80020d3123f,在平面直角坐标系中，若点A(a，-b)在第三象限，则点B(-ab，b)所在的象限是(   ) A.第一象限 B.第二象限 C.第三象限 D.第四象限,坐标平面中点的位置确定,分析,题型
5f7efe3ede8ec80020d31240,若菱形的周长为16，高为2，则菱形两邻角的度数之比为(   ) A.4：1 B.5：1 C.6：1 D.7：1,特殊角的三角函数值,记忆,知识点
5f7efe3ede8ec80020d31240,若菱形的周长为16，高为2，则菱形两邻角的度数之比为(   ) A.4：1 B.5：1 C.6：1 D.7：1,菱形的性质定理,理解,知识点
5f7efe3ede8ec80020d31240,若菱形的周长为16，高为2，则菱形两邻角的度数之比为(   ) A.4：1 B.5：1 C.6：1 D.7：1,利用菱形的性质进行计算,应用,题型
5f7efedfde8ec80020d31241,计算 $\sqrt[3]{-8}=$           .,求一个数的立方根,应用,题型
5f7efedfde8ec80020d31241,计算 $\sqrt[3]{-8}=$           .,立方根的定义,记忆,知识点
5f7eff48de8ec80020d31242,已知x<sub>1</sub>，x<sub>2</sub>是一元二次方程x<sup>2</sup>-2x-1=0的两根，则 $\frac1{x_1x_2}=$              .,一元二次方程的根与系数的关系（韦达定理）,理解,知识点
5f7eff48de8ec80020d31242,已知x<sub>1</sub>，x<sub>2</sub>是一元二次方程x<sup>2</sup>-2x-1=0的两根，则 $\frac1{x_1x_2}=$              .,用韦达定理求式子的值,应用,题型
5f7effe3de8ec80020d31243,若 $\vert x-2\vert+\sqrt{x+y}=0$ ，则 $-\frac12xy=$               .,二次根式的双重非负性的应用,应用,题型
5f7effe3de8ec80020d31243,若 $\vert x-2\vert+\sqrt{x+y}=0$ ，则 $-\frac12xy=$               .,绝对值的性质,理解,知识点
5f7effe3de8ec80020d31243,若 $\vert x-2\vert+\sqrt{x+y}=0$ ，则 $-\frac12xy=$               .,二次根式的性质,理解,知识点
5f7f00cbde8ec80020d31245,计算： $\frac y{x^2-y^2}\div(1-\frac x{x+y})$ 的结果是                    .,分式的加减法则,理解,知识点
5f7f00cbde8ec80020d31245,计算： $\frac y{x^2-y^2}\div(1-\frac x{x+y})$ 的结果是                    .,分式的除法法则,理解,知识点
5f7f00cbde8ec80020d31245,计算： $\frac y{x^2-y^2}\div(1-\frac x{x+y})$ 的结果是                    .,分式的混合运算,应用,题型
5f7f01d3de8ec80020d31249,解不等式 $\frac23x+\frac12\geq\frac12x$ ，并在数轴上表示其解集.,一元一次不等式的解集与表示,理解,知识点
5f7f01d3de8ec80020d31249,解不等式 $\frac23x+\frac12\geq\frac12x$ ，并在数轴上表示其解集.,解一元一次不等式,应用,题型
5f7f1b3be8cfa8dc3ed30fc7,据报道，2020年4月9日下午，黄石市重点园区(珠三角)云招商财富推介会上，我市现场共签项目20个，总投资137.6亿元.用科学记数法表示137.6亿元，可写为                 元.,科学记数法的定义,记忆,知识点
5f7f1b3be8cfa8dc3ed30fc7,据报道，2020年4月9日下午，黄石市重点园区(珠三角)云招商财富推介会上，我市现场共签项目20个，总投资137.6亿元.用科学记数法表示137.6亿元，可写为                 元.,用科学记数法表示数及递用还原数,应用,题型
5f7f0215de8ec80020d3124b,为推广黄冈各县市名优农产品，市政府组织创办了“黄冈地标馆”，一顾客在“黄冈地标馆”发现，如果购买6盒羊角春牌绿茶和4盒九孔牌藕粉，共需960元，如果购买1盒羊角春牌绿茶和3盒九孔牌藕粉共需300元，请问每盒羊角春牌绿茶和每盒九孔牌藕粉分别需要多少元？,列二元一次方程组解应用题的一般步骤,理解,知识点
5f7f0215de8ec80020d3124b,为推广黄冈各县市名优农产品，市政府组织创办了“黄冈地标馆”，一顾客在“黄冈地标馆”发现，如果购买6盒羊角春牌绿茶和4盒九孔牌藕粉，共需960元，如果购买1盒羊角春牌绿茶和3盒九孔牌藕粉共需300元，请问每盒羊角春牌绿茶和每盒九孔牌藕粉分别需要多少元？,列二元一次方程组解决商品问题,应用,题型
5f7f10fcde8ec80020d31260,3的相反数是(   ) A.3 B.-3 C. $\frac13$  D. $-\frac13$,求相反数,应用,题型
5f7f10fcde8ec80020d31260,3的相反数是(   ) A.3 B.-3 C. $\frac13$  D. $-\frac13$,相反数的定义,记忆,知识点
5f7f11fede8ec80020d31262,下列运算正确的是(   ) A.8a-3b＝5ab B.(a<sup>2</sup>)<sup>3</sup>＝a<sup>5</sup> C.a<sup>9</sup>÷a<sup>3</sup>＝a<sup>3</sup> D.a<sup>2</sup>·a＝a<sup>3</sup>,同底数幂的除法运算法则,理解,知识点
5f7f11fede8ec80020d31262,下列运算正确的是(   ) A.8a-3b＝5ab B.(a<sup>2</sup>)<sup>3</sup>＝a<sup>5</sup> C.a<sup>9</sup>÷a<sup>3</sup>＝a<sup>3</sup> D.a<sup>2</sup>·a＝a<sup>3</sup>,同底数幂的乘法运算法则,理解,知识点
5f7f11fede8ec80020d31262,下列运算正确的是(   ) A.8a-3b＝5ab B.(a<sup>2</sup>)<sup>3</sup>＝a<sup>5</sup> C.a<sup>9</sup>÷a<sup>3</sup>＝a<sup>3</sup> D.a<sup>2</sup>·a＝a<sup>3</sup>,合并同类项定义与法则,理解,知识点
5f7f11fede8ec80020d31262,下列运算正确的是(   ) A.8a-3b＝5ab B.(a<sup>2</sup>)<sup>3</sup>＝a<sup>5</sup> C.a<sup>9</sup>÷a<sup>3</sup>＝a<sup>3</sup> D.a<sup>2</sup>·a＝a<sup>3</sup>,幂的乘方运算法则,理解,知识点
5f7f1226de8ec80020d31263,函数 $y＝\frac1{x-3}+\sqrt{x-2}$ 的自变量x的取值范围是(   ) A.x≥2，且x≠3 B.x≥2 C.x≠3 D.x＞2，且x≠3,函数自变量的取值范围,理解,知识点
5f7f1226de8ec80020d31263,函数 $y＝\frac1{x-3}+\sqrt{x-2}$ 的自变量x的取值范围是(   ) A.x≥2，且x≠3 B.x≥2 C.x≠3 D.x＞2，且x≠3,求自变量的取值范围,应用,题型
5f7f1282de8ec80020d31264,不等式组 $\left\{\begin{array}{l}x-1<-3\2x+9\geq3\end{array}\right.$ 的解集是(   ) A.-3≤x＜3 B.x＞-2 C.-3≤x＜-2 D.x≤-3,一元一次不等式组的解集与表示,理解,知识点
5f7f1282de8ec80020d31264,不等式组 $\left\{\begin{array}{l}x-1<-3\2x+9\geq3\end{array}\right.$ 的解集是(   ) A.-3≤x＜3 B.x＞-2 C.-3≤x＜-2 D.x≤-3,解一元一次不等式组,应用,题型
5f7f1294de8ec80020d31265,在平面直角坐标系中，点G的坐标是(-2，1)，连接OG，将线段OG绕原点O旋转180°，得到对应线段OG'，则点G'的坐标为(   ) A.(2，-1) B.(2，1) C.(1，-2) D.(-2，-1),图形的旋转与点的坐标变化,分析,题型
5f7f13fede8ec80020d31267,若二次函数y＝a<sup>2</sup>x<sup>2</sup>-bx-c的图象，过不同的六点A(-1，n)、B(5，n-1)、C(6，n+1)、 $D(\sqrt2，y_1)$ 、E(2，y<sub>2</sub>)、F(4，y<sub>3</sub>)，则y<sub>1</sub>、y<sub>2</sub>、y<sub>3</sub>的大小关系是(   ) A.y<sub>1</sub>＜y<sub>2</sub>＜y<sub>3</sub> B.y<sub>1</sub>＜y<sub>3</sub>＜y<sub>2</sub> C.y<sub>2</sub>＜y<sub>3</sub>＜y<sub>1</sub> D.y<sub>2</sub>＜y<sub>1</sub>＜y<sub>3</sub>,二次函数值的大小比较,分析,题型
5f7f13fede8ec80020d31267,若二次函数y＝a<sup>2</sup>x<sup>2</sup>-bx-c的图象，过不同的六点A(-1，n)、B(5，n-1)、C(6，n+1)、 $D(\sqrt2，y_1)$ 、E(2，y<sub>2</sub>)、F(4，y<sub>3</sub>)，则y<sub>1</sub>、y<sub>2</sub>、y<sub>3</sub>的大小关系是(   ) A.y<sub>1</sub>＜y<sub>2</sub>＜y<sub>3</sub> B.y<sub>1</sub>＜y<sub>3</sub>＜y<sub>2</sub> C.y<sub>2</sub>＜y<sub>3</sub>＜y<sub>1</sub> D.y<sub>2</sub>＜y<sub>1</sub>＜y<sub>3</sub>,二次函数图象的增减性,理解,知识点
5f7f13fede8ec80020d31267,若二次函数y＝a<sup>2</sup>x<sup>2</sup>-bx-c的图象，过不同的六点A(-1，n)、B(5，n-1)、C(6，n+1)、 $D(\sqrt2，y_1)$ 、E(2，y<sub>2</sub>)、F(4，y<sub>3</sub>)，则y<sub>1</sub>、y<sub>2</sub>、y<sub>3</sub>的大小关系是(   ) A.y<sub>1</sub>＜y<sub>2</sub>＜y<sub>3</sub> B.y<sub>1</sub>＜y<sub>3</sub>＜y<sub>2</sub> C.y<sub>2</sub>＜y<sub>3</sub>＜y<sub>1</sub> D.y<sub>2</sub>＜y<sub>1</sub>＜y<sub>3</sub>,二次函数图象的对称性,理解,知识点
5f7f19a6de8ec80020d31277,计算： $(\frac13)^{-1}-\vert1-\sqrt2\vert＝$              .,绝对值的性质,理解,知识点
5f7f19a6de8ec80020d31277,计算： $(\frac13)^{-1}-\vert1-\sqrt2\vert＝$              .,负整数指数幂,记忆,知识点
5f7f19a6de8ec80020d31277,计算： $(\frac13)^{-1}-\vert1-\sqrt2\vert＝$              .,实数的运算,应用,题型
5f7f1b19de8ec80020d3127a,因式分解：m<sup>3</sup>n-mn<sup>3</sup>＝               .,用公式法分解因式,应用,题型
5f7f1b19de8ec80020d3127a,因式分解：m<sup>3</sup>n-mn<sup>3</sup>＝               .,公式法的定义与步骤,理解,知识点
